                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.53444,                 1.1332,                0.55708,                 1.0103,                0.89256,                0.92146,                0.94057,                0.81989,                0.90881,                0.93755,                0.95239,                0.80286,                0.62463,                  1.931,                0.56103,                0.98045,             0.00010094,             0.00010094,             0.00010094
                     25,                0.54645,                 1.1835,                0.60119,                0.97849,                0.87482,                0.91196,                0.93911,                0.82694,                0.89031,                0.92797,                0.94975,                0.80505,                0.61347,                 1.9047,                0.55993,                0.96605,             0.00010015,             0.00010015,             0.00010015
                     26,                0.58385,                  1.133,                0.60078,                 1.0219,                0.87075,                  0.925,                0.93805,                 0.8371,                0.88612,                0.94167,                 0.9468,                0.80803,                0.57185,                 2.4465,                 0.5348,                0.94076,             9.9365e-05,             9.9365e-05,             9.9365e-05
                     27,                0.51977,                 1.0816,                0.57941,                0.99953,                0.90212,                0.90833,                0.93546,                0.84699,                0.90669,                0.92674,                0.94693,                0.81669,                0.55182,                 2.4675,                0.51435,                0.92503,              9.858e-05,              9.858e-05,              9.858e-05
                     28,                0.51883,                  1.036,                0.58748,                 1.0024,                 0.9439,                0.89364,                0.93396,                0.83727,                0.94605,                 0.9178,                0.94688,                0.82421,                0.57152,                 2.5145,                0.48984,                0.93926,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     29,                0.49833,                  1.231,                0.55396,                0.95733,                0.92191,                0.89569,                0.93701,                0.84352,                0.94029,                0.91225,                0.94633,                0.82345,                0.57657,                 2.5549,                0.49913,                0.93356,             9.7009e-05,             9.7009e-05,             9.7009e-05
                     30,                0.55506,                 1.1748,                0.59518,                 1.0178,                0.93856,                0.87998,                0.93808,                0.84617,                  0.958,                0.89612,                0.95023,                0.80569,                0.57446,                 2.6261,                0.50058,                0.91418,             9.6223e-05,             9.6223e-05,             9.6223e-05
                     31,                0.52781,                 1.0391,                 0.5489,                0.99122,                0.93936,                0.87418,                0.93802,                0.84871,                0.95805,                0.89061,                0.95169,                0.81099,                 0.5583,                 2.7106,                 0.5045,                0.89909,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     32,                0.52932,                 1.1558,                0.53676,                 1.0331,                0.93404,                0.87464,                0.93416,                0.85468,                0.95274,                0.89108,                0.95009,                0.80998,                0.55049,                 2.7565,                0.53521,                0.90599,             9.4653e-05,             9.4653e-05,             9.4653e-05
                     33,                0.57194,                0.98365,                0.60779,                0.99017,                0.88442,                0.89781,                0.93541,                0.85425,                0.90368,                0.91115,                0.94541,                0.81104,                0.55826,                 2.7441,                 0.5579,                0.91233,             9.3867e-05,             9.3867e-05,             9.3867e-05
                     34,                0.56393,                 1.1608,                0.59424,                 1.0184,                0.83082,                0.88134,                0.92264,                0.79267,                0.85178,                0.89749,                0.93091,                0.78096,                0.60886,                  2.862,                0.58849,                0.94392,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     35,                0.53326,                  1.143,                0.54156,                 1.0284,                0.90404,                0.82989,                0.90882,                0.77758,                0.84211,                0.90131,                0.92716,                0.76766,                0.63827,                 2.9695,                0.59321,                0.97397,             9.2296e-05,             9.2296e-05,             9.2296e-05
                     36,                0.47382,                0.91791,                0.47614,                0.98258,                0.95999,                 0.8099,                0.90079,                0.75602,                0.86715,                0.89981,                0.91118,                0.75414,                0.70082,                 3.1219,                0.55853,                 1.0529,             9.1511e-05,             9.1511e-05,             9.1511e-05
                     37,                0.56849,                 1.1073,                0.62381,                 1.0038,                0.85747,                0.87185,                0.91102,                0.76346,                0.87857,                0.88852,                0.92473,                0.74995,                0.68418,                 3.0856,                0.55492,                 1.0219,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     38,                0.44889,                0.90905,                0.45199,                0.98046,                0.92483,                0.88422,                0.92162,                0.78402,                0.94578,                0.90017,                0.93412,                0.78623,                0.64602,                 2.9354,                0.55585,                0.96205,              8.994e-05,              8.994e-05,              8.994e-05
                     39,                0.44485,                0.96705,                0.48903,                0.97611,                 0.9244,                0.88334,                0.92508,                 0.7895,                 0.9452,                0.89954,                0.93648,                0.79288,                0.63656,                  2.809,                0.55137,                 0.9475,             8.9155e-05,             8.9155e-05,             8.9155e-05
                     40,                0.55961,                 1.1012,                0.52166,                 1.0377,                0.88945,                 0.9247,                0.93637,                0.79906,                0.90701,                0.94137,                0.94772,                0.78588,                0.62545,                  2.606,                0.50862,                0.94284,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     41,                0.59142,                 1.5286,                0.69515,                 1.1204,                0.93313,                0.90833,                0.94143,                0.80015,                0.95127,                  0.925,                0.95369,                0.79826,                0.63103,                 2.5598,                0.50777,                0.95387,             8.7584e-05,             8.7584e-05,             8.7584e-05
                     42,                0.45007,                0.86664,                0.44015,                0.94141,                0.87951,                0.91248,                0.93329,                0.82764,                0.89778,                0.92915,                  0.945,                0.79283,                0.65372,                 2.4765,                0.52422,                0.99767,             8.6799e-05,             8.6799e-05,             8.6799e-05
                     43,                0.52403,                    1.1,                0.49778,                0.99505,                0.87299,                0.90833,                0.93215,                0.82748,                0.91426,                0.89607,                0.94441,                0.79042,                 0.6474,                 2.5604,                0.52312,                 1.0012,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     44,                0.46202,                0.91076,                0.50173,                0.98283,                0.96516,                0.86871,                0.94149,                0.82383,                0.94566,                0.89526,                0.95344,                0.79404,                0.65293,                 2.6199,                0.52494,                 1.0219,             8.5228e-05,             8.5228e-05,             8.5228e-05
                     45,                0.47304,                0.88824,                0.53682,                0.96902,                0.93094,                0.87819,                0.92415,                0.79379,                 0.9517,                0.89478,                0.95278,                0.78047,                0.66131,                 2.4721,                0.52382,                 1.0324,             8.4442e-05,             8.4442e-05,             8.4442e-05
                     46,                0.49267,                 1.0457,                0.47584,                0.95967,                0.92254,                0.88771,                0.92095,                0.80066,                0.94275,                0.90387,                0.93482,                0.79449,                0.67179,                 1.8488,                0.51967,                 1.0502,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     47,                0.49065,                0.96568,                0.51198,                0.97463,                0.92155,                0.88719,                0.92107,                0.80834,                0.94194,                 0.9032,                0.93478,                0.80569,                0.65256,                 1.8146,                0.49846,                 1.0379,             8.2872e-05,             8.2872e-05,             8.2872e-05
                     48,                0.54537,                0.96758,                0.53409,                0.99537,                0.95761,                0.85833,                0.92812,                0.81165,                0.95235,                0.88814,                0.93508,                0.79149,                0.64188,                 2.2359,                 0.4888,                 1.0338,             8.2086e-05,             8.2086e-05,             8.2086e-05
                     49,                0.45072,                 1.2051,                0.48151,                0.94306,                0.95075,                0.85908,                0.92597,                0.79583,                 0.9663,                0.88091,                0.93285,                0.78933,                0.64023,                  2.369,                0.50467,                   1.02,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     50,                0.41961,                0.89016,                0.41589,                0.93933,                0.94466,                0.86591,                0.91167,                0.78362,                0.96637,                0.88223,                  0.929,                0.76521,                0.63429,                 2.6559,                0.52606,                 1.0161,             8.0515e-05,             8.0515e-05,             8.0515e-05
                     51,                0.40453,                0.81486,                0.40437,                0.91743,                0.94619,                 0.8595,                 0.9153,                0.78131,                0.94619,                 0.8595,                0.90902,                0.76057,                0.62174,                 2.7616,                0.52769,                 1.0031,              7.973e-05,              7.973e-05,              7.973e-05
                     52,                0.51116,                0.84022,                0.52311,                  1.015,                0.94695,                0.84773,                0.92422,                 0.7845,                0.94695,                0.84773,                0.91787,                0.76662,                0.62581,                  2.833,                0.54672,                0.99063,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     53,                0.44444,                0.87947,                0.45419,                0.94103,                0.94091,                  0.846,                0.92704,                0.78206,                0.94091,                  0.846,                0.91831,                0.75921,                0.62342,                 2.7817,                0.54878,                0.98574,             7.8159e-05,             7.8159e-05,             7.8159e-05
                     54,                0.42201,                0.81697,                0.41538,                0.93461,                 0.9359,                 0.8402,                0.91078,                0.76659,                 0.9359,                 0.8402,                0.90015,                0.76914,                0.64409,                 2.2236,                0.55522,                 1.0052,             7.7374e-05,             7.7374e-05,             7.7374e-05
                     55,                0.52208,                 1.0626,                0.48297,                0.98173,                0.93403,                0.84041,                  0.915,                 0.7652,                0.93403,                0.84041,                0.90418,                  0.768,                0.65989,                 2.0977,                 0.5513,                 1.0235,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     56,                0.48886,                0.84776,                0.44213,                 0.9552,                0.93367,                0.84605,                0.91246,                0.76549,                0.95439,                0.86265,                0.92371,                0.78565,                0.64628,                 2.0974,                0.52056,                 1.0068,             7.5803e-05,             7.5803e-05,             7.5803e-05
