                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8815,                 3.0906,                 3.2169,                  1.248,                0.00462,                0.91667,                0.07208,                0.04775,                0.00388,                  0.825,                0.06192,                0.04506,                 0.7959,                 3.4712,                 3.1769,                 1.3872,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.94552,                 2.9646,                 3.2175,                 1.2817,                0.00474,                0.91667,                0.45899,                0.38286,                0.00458,                  0.875,                0.45292,                0.34883,                 0.6876,                 2.3516,                 3.1593,                 1.2676,             0.00015615,             0.00015615,             0.00015615
                      3,                0.86888,                 2.1642,                  2.397,                 1.2101,                0.00537,                0.96667,                 0.5799,                 0.4794,                0.00521,                  0.925,                 0.5808,                0.47697,                0.70867,                 2.2426,                 2.8776,                 1.0948,             0.00023972,             0.00023972,             0.00023972
                      4,                0.69926,                  1.601,                 2.2876,                 1.0772,                0.98673,                0.16667,                0.53118,                0.43102,                0.98673,                0.16667,                0.52998,                0.40082,                0.72567,                 1.8529,                 2.4291,                 1.1559,             0.00032216,             0.00032216,             0.00032216
                      5,                0.87484,                 1.6366,                 1.8901,                 1.2443,                0.94242,                   0.16,                0.75109,                0.59511,                0.97121,                0.17666,                0.74145,                0.56737,                0.72443,                 1.8583,                  2.359,                 1.2366,             0.00040347,             0.00040347,             0.00040347
                      6,                0.83551,                 1.5908,                 1.6248,                 1.1461,                0.99897,                0.41758,                0.76256,                0.63783,                0.99897,                0.41758,                 0.7704,                0.58275,                0.72491,                 3.0551,                  2.416,                 1.1579,             0.00048365,             0.00048365,             0.00048365
                      7,                0.81962,                 1.7809,                 1.6104,                 1.1525,                0.63813,                0.47527,                 0.7209,                0.54932,                0.63813,                0.47527,                0.71217,                0.50036,                0.89701,                 3.4459,                 2.2882,                 1.2882,             0.00056269,             0.00056269,             0.00056269
                      8,                0.85107,                 1.7836,                 1.3888,                 1.1582,                 0.5569,                0.11667,                0.57776,                0.44378,                 0.5569,                0.11667,                0.56445,                0.36917,                0.95916,                 3.6222,                 2.5972,                 1.3466,              0.0006406,              0.0006406,              0.0006406
                      9,                0.70663,                  1.525,                 1.3006,                 1.0595,                0.66037,                0.53537,                 0.7155,                0.50187,                0.66037,                0.53537,                0.71127,                0.48232,                0.88339,                 4.1107,                 2.1772,                   1.28,             0.00071738,             0.00071738,             0.00071738
                     10,                0.74329,                  1.407,                 1.2394,                 1.1184,                0.72413,                  0.613,                0.67731,                0.46112,                0.73026,                0.60102,                0.67233,                0.38252,                 1.1792,                  4.729,                  2.322,                 1.5289,             0.00079303,             0.00079303,             0.00079303
