                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.98827,                 2.2403,                0.98048,                 1.0971,                0.82649,                0.73903,                0.82106,                0.63615,                0.77279,                0.69757,                0.74933,                0.50903,                0.90146,                 2.0377,                0.73678,                 1.0121,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.90754,                 2.1161,                0.89169,                 1.0633,                0.80308,                0.75506,                0.82588,                0.64306,                 0.7852,                0.68963,                0.75552,                0.51662,                0.89666,                 2.0134,                0.72399,                 1.0091,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.99397,                 2.2838,                0.99757,                 1.0981,                0.82889,                0.73904,                0.83096,                0.64876,                0.78742,                0.69369,                0.76202,                0.51899,                0.88941,                 1.9967,                0.71296,                 1.0039,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.98338,                 2.1899,                0.92831,                 1.0803,                0.80525,                0.76853,                0.83728,                0.65463,                 0.8399,                0.68305,                0.77049,                0.52384,                 0.8803,                 1.9878,                0.70375,                 1.0003,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.92493,                 2.1169,                0.88437,                 1.0607,                0.81246,                0.76254,                0.84045,                0.65156,                0.77605,                0.72952,                0.77071,                0.52415,                0.87773,                 1.9861,                0.69763,                0.99975,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.94058,                 2.0801,                 0.9316,                 1.0721,                0.82866,                0.76384,                0.84312,                0.65149,                0.79647,                0.72311,                0.77381,                0.52299,                0.87722,                 1.9858,                0.69799,                0.99922,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.94529,                  2.205,                0.87229,                 1.0514,                0.85785,                0.75668,                0.84468,                0.65556,                0.82613,                0.72175,                0.77376,                0.52611,                0.87422,                 1.9751,                0.68975,                 0.9975,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.93388,                 2.0762,                0.87166,                 1.0571,                0.85246,                 0.7688,                0.85051,                0.66593,                 0.8246,                0.72338,                0.79116,                0.53185,                0.86679,                 1.9555,                  0.673,                0.99148,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.94145,                 2.1681,                0.91353,                 1.0579,                0.84241,                0.78911,                 0.8499,                0.67053,                0.81039,                0.75757,                0.79209,                0.53488,                0.85969,                  1.943,                 0.6615,                0.98591,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.95926,                 2.1857,                0.86366,                 1.0513,                0.83857,                0.78967,                 0.8516,                 0.6701,                0.79749,                0.75311,                0.79458,                0.53637,                0.85261,                 1.9311,                0.66023,                0.98268,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.84688,                  1.921,                0.81233,                 1.0304,                0.84612,                0.78354,                0.85353,                0.67368,                0.80189,                0.74592,                0.79393,                 0.5407,                0.84492,                 1.9227,                0.66085,                0.97974,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.92957,                 2.1456,                0.88175,                 1.0435,                0.87461,                0.77048,                0.85711,                0.67808,                0.83623,                0.73988,                0.79542,                0.54086,                0.84289,                 1.9103,                0.65687,                0.97872,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.88119,                  2.008,                0.83886,                 1.0328,                0.88402,                0.77208,                0.85762,                0.68343,                0.83019,                0.72821,                0.78361,                0.54046,                 0.8419,                 1.9038,                0.64865,                0.97909,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.90526,                 1.9818,                0.88172,                 1.0558,                0.87044,                0.78014,                0.85573,                0.68341,                0.83737,                0.74071,                0.79926,                0.54137,                0.83782,                 1.8943,                0.64327,                0.97718,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.89511,                  2.033,                 0.8102,                 1.0195,                0.86847,                0.78193,                0.85553,                0.68893,                0.85571,                0.74559,                0.80463,                0.54157,                0.83029,                 1.8917,                0.63376,                0.97534,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 0.9107,                 2.0795,                0.79039,                 1.0334,                0.88864,                0.77582,                0.85888,                0.69484,                0.86708,                0.74329,                0.80784,                0.54622,                0.82527,                 1.8845,                0.62793,                0.97237,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.90259,                 2.0716,                0.83017,                 1.0452,                0.87547,                0.78409,                0.86026,                0.69394,                 0.8568,                0.74436,                0.80571,                0.54417,                0.82038,                 1.8753,                0.62798,                0.96836,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.92922,                 2.0362,                0.83814,                 1.0348,                0.89622,                 0.7737,                0.86177,                0.69541,                 0.8557,                0.74195,                0.80634,                0.54775,                0.81857,                 1.8661,                0.62574,                0.96784,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.89992,                 2.0435,                0.81394,                 1.0483,                0.88132,                 0.7836,                0.86569,                0.69602,                0.84106,                0.74655,                0.80524,                0.55138,                0.81601,                 1.8582,                0.61808,                0.96603,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.87083,                 2.0466,                0.78867,                 1.0329,                0.86654,                0.79478,                0.86762,                0.69821,                0.83207,                0.75204,                0.80996,                0.55544,                0.81794,                 1.8575,                0.61682,                0.96693,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.89716,                 1.9924,                0.84093,                 1.0398,                0.86672,                0.79045,                0.86715,                0.70188,                0.84393,                 0.7498,                0.81257,                0.55794,                0.81763,                 1.8524,                0.61569,                0.96668,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.90937,                 2.0415,                0.82769,                 1.0297,                0.87713,                0.78917,                 0.8678,                0.70573,                0.84194,                0.75479,                0.81736,                0.55824,                0.81436,                 1.8474,                0.61134,                 0.9658,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.89184,                 2.0928,                0.82762,                 1.0235,                0.89196,                0.78918,                0.87127,                0.70506,                0.83726,                0.76324,                0.82221,                0.56149,                0.81105,                  1.842,                0.61492,                0.96458,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.84792,                 1.9067,                0.78781,                 1.0194,                0.88404,                0.79999,                0.87527,                0.70751,                 0.8439,                0.76104,                0.82404,                0.56351,                0.81374,                 1.8421,                0.61658,                 0.9643,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.88242,                 2.0295,                0.77979,                 1.0231,                0.88217,                0.79788,                0.87692,                 0.7072,                0.84687,                0.76131,                0.82537,                0.56379,                0.81244,                 1.8318,                0.61069,                0.96328,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.85718,                 1.9634,                0.76358,                 1.0109,                0.88124,                0.79478,                0.87806,                0.71036,                0.85842,                 0.7466,                0.82352,                0.56639,                0.80605,                 1.8201,                0.60126,                0.96077,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.87457,                 2.0164,                0.79104,                 1.0363,                0.88078,                0.79577,                 0.8778,                0.71378,                0.85674,                0.75134,                0.82482,                0.57045,                0.79802,                 1.8138,                0.59459,                0.95884,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.88114,                 1.9057,                0.77404,                 1.0268,                0.87335,                0.81349,                0.88383,                0.71691,                0.84619,                0.75938,                0.82387,                0.57307,                0.79476,                  1.809,                0.58944,                0.95743,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.85943,                 1.9834,                0.77293,                 1.0109,                 0.8659,                0.81926,                0.88118,                 0.7163,                0.83469,                0.76715,                0.82092,                0.57481,                0.79139,                 1.8033,                0.58781,                0.95605,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.86549,                  1.976,                0.77296,                 1.0206,                0.87691,                0.81758,                0.88191,                0.71395,                0.84751,                0.76136,                 0.8221,                0.57207,                 0.7872,                 1.7979,                0.59056,                0.95425,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.84527,                  1.947,                0.77095,                 1.0102,                0.88605,                0.81307,                0.88412,                0.71919,                0.86216,                0.76241,                0.82322,                0.57173,                0.78565,                 1.7952,                0.59431,                0.95175,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 0.8407,                 1.9226,                0.77023,                 1.0052,                 0.8904,                0.80953,                0.88477,                0.72124,                0.87018,                0.76297,                0.82728,                0.57224,                0.78314,                 1.7882,                0.59052,                0.94931,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.84842,                  1.961,                0.73706,                 1.0087,                0.89898,                0.80133,                0.88376,                0.72151,                 0.8691,                0.76099,                0.82821,                0.57322,                0.77788,                 1.7795,                0.58404,                0.94665,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.89193,                 2.0166,                0.81549,                 1.0215,                0.88617,                0.80673,                 0.8828,                0.72604,                0.86632,                0.77077,                0.83278,                0.57316,                0.77533,                 1.7767,                0.57925,                0.94534,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.90522,                  2.016,                0.79422,                 1.0164,                0.88847,                0.80304,                0.88387,                0.72482,                0.85924,                 0.7664,                 0.8304,                0.57211,                0.77504,                 1.7753,                0.57619,                0.94478,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.89808,                 2.0543,                0.76083,                 1.0071,                0.88676,                0.81237,                0.88467,                 0.7264,                0.85515,                0.77417,                0.82976,                0.57188,                0.77591,                 1.7736,                 0.5753,                 0.9445,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.85725,                 1.9508,                0.77788,                 1.0047,                0.89255,                0.81154,                0.88487,                0.72978,                0.85934,                0.77632,                0.83028,                0.57379,                0.77551,                 1.7708,                0.57567,                0.94429,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.88323,                 2.0123,                0.77637,                 1.0126,                0.89256,                 0.8115,                0.88748,                0.73061,                 0.8624,                0.77536,                0.83293,                0.57458,                0.77289,                 1.7692,                0.57394,                0.94409,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.85872,                 2.0194,                 0.7451,                  1.013,                0.89671,                0.80998,                 0.8858,                0.72836,                 0.8659,                0.77326,                0.83056,                0.57248,                0.77238,                 1.7649,                0.57044,                  0.944,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.82098,                 1.9034,                 0.7514,                0.99668,                0.89555,                0.80996,                0.88629,                0.72866,                0.86364,                0.77336,                0.83149,                0.57324,                0.77068,                 1.7584,                0.56523,                0.94374,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.89093,                 2.0032,                0.78666,                 1.0105,                 0.8864,                0.81605,                0.88842,                0.72955,                0.84137,                 0.7855,                0.83617,                0.57504,                0.77076,                 1.7532,                0.56276,                0.94317,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.84057,                  1.955,                0.75368,                 1.0056,                0.89272,                0.81676,                0.88967,                0.72856,                0.85741,                0.77682,                0.83329,                0.57973,                0.76739,                 1.7498,                0.56027,                  0.942,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.87005,                 1.9136,                0.73511,                 1.0114,                 0.9002,                0.81534,                0.89175,                0.72852,                0.86558,                0.77425,                0.83627,                0.58293,                0.76652,                 1.7459,                0.55976,                0.94137,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.80585,                 1.9097,                0.74404,                 1.0008,                0.90659,                0.81422,                0.89347,                0.73151,                0.86779,                0.77685,                0.83679,                0.57971,                0.76609,                 1.7417,                 0.5594,                0.94062,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.86291,                 1.9822,                0.72927,                 1.0069,                0.90684,                0.81958,                0.89605,                0.72811,                0.86718,                 0.7786,                0.83826,                0.57818,                0.76332,                 1.7348,                0.55544,                0.93967,             4.1245e-05,             4.1245e-05,             4.1245e-05
